Crimes,cityKod,city,crimeType
115,7400,נתניה,שמוש בסמים מסוכנים
115,7400,נתניה,תקיפת והכשלת שוטר
114,2100,טירת כרמל,(תקיפה (למעט עובדי ציבור
114,2200,דימונה,גניבה שמוש רכב ללא רשות
114,3000,ירושלים,הטרדה מינית
114,2600,אילת,סחריבוא ויצוא סמים
114,2730,טייבה,עבירות על חוק הכניסה לישראל
113,2710,אום אל-פחם,(תקיפה (למעט עובדי ציבור
113,9200,בית שאן,(תקיפה (למעט עובדי ציבור
113,7200,נס ציונה,(תקיפה (למעט עובדי ציבור
113,9200,בית שאן,איומים
113,1054,תל שבע,איומים
113,6600,חולון,הסגות גבול
113,1303,חורה,הסגות גבול
113,3000,ירושלים,סחיטה
113,7300,נצרת,עבירות הנוגעות לנחלת משפט
113,7100,אשקלון,עבירות על חוק הכניסה לישראל
112,2640,ראש העין,גרימת נזק לרכוש בזדון
112,7000,לוד,החזקת סמים שלא לצריכה עצמית
112,3000,ירושלים,התקהלות או התאגדות
112,1061,נוף הגליל,עבירות נגד הסדר הצבורי
111,9400,יהוד-מונוסון,איומים
111,7200,נס ציונה,גניבה שמוש רכב ללא רשות
111,6200,בת ים,תקיפת והכשלת שוטר
110,70,אשדוד,גניבה מתוך רכב
110,8500,רמלה,עבירות אחרות כלפי בטחון
110,6700,טבריה,עבירות הנוגעות לנחלת משפט
109,2720,טירה,עבירות נגד הסדר הצבורי
109,531,עראבה,עבירות נגד הסדר הצבורי
109,4000,חיפה,רשלנות ופחזות פלילית
108,9000,באר שבע,התפרצות לבתי עסק ומוסדות
107,2530,באר יעקב,(תקיפה (למעט עובדי ציבור
107,2640,ראש העין,גניבות אחרות
107,8300,ראשון לציון,חבלה גופנית חמורה
107,9100,נהריה,עבירות נגד הסדר הצבורי
106,498,טורעאן,איומים
106,2600,אילת,החזקת סמים שלא לצריכה עצמית
106,6200,בת ים,חבלה גופנית חמורה
106,7000,לוד,עבירות אחרות כלפי בטחון
106,2200,דימונה,עבירות נגד הסדר הצבורי
106,2600,אילת,תקיפת והכשלת שוטר
105,1015,מבשרת ציון,איומים
105,2660,יבנה,גניבות אחרות
105,2560,ערד,גניבות אחרות
105,6500,חדרה,חבלה גופנית חמורה
105,2200,דימונה,עבירות הנוגעות לנחלת משפט
105,8500,רמלה,תקיפת והכשלת שוטר
104,8400,רחובות,גניבה מתוך רכב
104,6600,חולון,התפרצות לבית דירה
104,8900,טמרה,עבירות אחרות כלפי בטחון
104,3000,ירושלים,עבירות טכניות
103,1309,אלעד,איומים
103,2500,נשר,איומים
103,7200,נס ציונה,גניבות אחרות
102,509,כפר כנא,איומים
102,246,נתיבות,גניבות אחרות
102,509,כפר כנא,עבירות נגד הסדר הצבורי
102,2710,אום אל-פחם,עבירות על חוק הכניסה לישראל
101,1303,חורה,(תקיפה (למעט עובדי ציבור
101,1247,חריש,איומים
101,7200,נס ציונה,איומים
101,6400,הרצליה,הסגות גבול
101,9000,באר שבע,התפרצות לבית דירה
101,5000,תל אביב יפו,עבירות אחרות כלפי בטחון
101,6800,קרית אתא,עבירות הנוגעות לנחלת משפט
101,637,ערערה,עבירות נגד הסדר הצבורי
100,7100,אשקלון,גניבה שמוש רכב ללא רשות
100,6000,באקה אל-גרביה,עבירות נגד הסדר הצבורי
99,478,אכסאל,איומים
99,4000,חיפה,גניבת חלקי רכב
99,7100,אשקלון,סחריבוא ויצוא סמים
99,6300,גבעתיים,עבירות על חוק הכניסה לישראל
99,6400,הרצליה,עבירות על חוק הכניסה לישראל
98,2650,רמת השרון,איומים
98,8300,ראשון לציון,התפרצות לבית דירה
98,6600,חולון,התפרצות לבתי עסק ומוסדות
98,2710,אום אל-פחם,חבלה גופנית חמורה
98,6400,הרצליה,עבירות נגד הסדר הצבורי
98,6800,קרית אתא,עבירות נגד הסדר הצבורי
98,8300,ראשון לציון,רשלנות ופחזות פלילית
97,634,כפר קאסם,(תקיפה (למעט עובדי ציבור
97,2550,גדרה,איומים
97,7100,אשקלון,גניבה מתוך רכב
97,2560,ערד,הסגות גבול
97,8600,רמת גן,התפרצות לבית דירה
97,7100,אשקלון,עבירות פיסקליות
97,5000,תל אביב יפו,שוד בנסיבות חמורות
96,2650,רמת השרון,(תקיפה (למעט עובדי ציבור
96,2620,קרית אונו,איומים
96,7100,אשקלון,החזקת סמים שלא לצריכה עצמית
96,7300,נצרת,עבירות על חוק הכניסה לישראל
96,1286,שגב-שלום,עבירות על חוק הכניסה לישראל
95,638,קלנסווה,(תקיפה (למעט עובדי ציבור
95,1034,קרית מלאכי,גניבות אחרות
95,6400,הרצליה,עבירות הנוגעות לנחלת משפט
94,168,כפר יונה,(תקיפה (למעט עובדי ציבור
94,2620,קרית אונו,(תקיפה (למעט עובדי ציבור
94,2660,יבנה,גרימת נזק לרכוש בזדון
94,8300,ראשון לציון,התפרצות לבתי עסק ומוסדות
94,541,ג'סר א זרקא,חבלה גופנית חמורה
94,6900,כפר סבא,מרמה ועושק
94,70,אשדוד,עבירות פיסקליות
93,3780,ביתר עילית,איומים
93,1200,מודיעין-מכבים-רעות,גניבה מתוך רכב
93,8700,רעננה,גרימת נזק לרכוש בזדון
93,4000,חיפה,התפרצות לבתי עסק ומוסדות
92,9400,יהוד-מונוסון,(תקיפה (למעט עובדי ציבור
92,7500,סח'נין,(תקיפה (למעט עובדי ציבור
92,8300,ראשון לציון,גניבת אופניים
92,8300,ראשון לציון,הסגות גבול
91,2630,קרית גת,גניבה שמוש רכב ללא רשות
91,1192,ערערה-בנגב,גרימת נזק לרכוש בזדון
91,9500,קרית ביאליק,גרימת נזק לרכוש בזדון
91,6500,חדרה,החזקת סמים שלא לצריכה עצמית
91,7300,נצרת,תקיפת והכשלת שוטר
90,489,דבוריה,איומים
90,2800,קרית שמונה,גרימת נזק לרכוש בזדון
90,6100,בני ברק,הסגות גבול
90,1192,ערערה-בנגב,עבירות על חוק הכניסה לישראל
90,5000,תל אביב יפו,קטטות והפרעות ברחובות
90,6600,חולון,תקיפת והכשלת שוטר
89,6000,באקה אל-גרביה,(תקיפה (למעט עובדי ציבור
89,494,דאלית אל כרמל,איומים
89,195,קדימה צורן,איומים
89,5000,תל אביב יפו,הצתה
89,2600,אילת,חבלה גופנית חמורה
89,498,טורעאן,עבירות נגד הסדר הצבורי
